,신고자명,구분,URL,비고(특이사항 등)
0,윤이삭,불법거래,https://twitter.com/hxam36,트위터
1,윤이삭,불법거래,https://twitter.com/mCm4IZru1XsASnP,트위터
2,윤이삭,불법거래,https://twitter.com/sye6312,트위터
3,윤이삭,불법거래,https://twitter.com/ollehbetcs,트위터
4,윤이삭,불법거래,https://twitter.com/YounYoungsam,트위터
5,윤이삭,불법거래,https://twitter.com/sh6627,트위터
6,윤이삭,불법거래,https://twitter.com/ucHCh3CyPQqqP3L,트위터
7,윤이삭,불법거래,https://twitter.com/DJ8gG4UNcmGgwrT,트위터
8,윤이삭,불법거래,https://twitter.com/jo1v7VDQ7izm9Tg,트위터
9,윤이삭,불법거래,https://twitter.com/c6u64sX1a8WW8q3,트위터
